Sistema,BS
Bosque,4.67
Bosque,2
Bosque,6.67
Bosque,2.33
Bosque,3.33
Bosque,2.33
Bosque,1.67
Bosque,4
Bosque,2.67
Bosque,4.33
Bosque,4
Bosque,4
Bosque,5.33
Bosque,5.33
Bosque,3
DAIB,3.67
DAIB,5
DAIB,5
DAIB,4
DAIB,2.67
DAIB,1.67
DAIB,3.67
DAIB,1.33
DAIB,5.67
DAIB,6.67
DAIB,3
DAIB,4
DAIB,3.33
DAIB,2
DAIB,4
DAIC,4
DAIC,2.33
DAIC,0.33
DAIC,5.33
DAIC,3.67
DAIC,6
DAIC,1
DAIC,2.67
DAIC,3.67
DAIC,2.67
DAIC,3
DAIC,5.67
DAIC,7
DAIC,4.67
DAIC,1
SOMBRA,1
SOMBRA,1.33
SOMBRA,5
SOMBRA,3.33
SOMBRA,8.67
SOMBRA,6
SOMBRA,1.33
SOMBRA,5
SOMBRA,2.67
SOMBRA,6.67
SOMBRA,3.33
SOMBRA,4
SOMBRA,4.67
SOMBRA,2.33
SOMBRA,8
SOMBRA,4.67
SOL,1.67
SOL,0.67
SOL,1
SOL,0.33
SOL,1.67
SOL,0.67
SOL,2
SOL,2.33
SOL,2.67
SOL,4
SOL,0.67
SOL,3
SOL,2.67
SOL,0
