Sistema,Riqueza
Bosque,4.67
Bosque,2.67
Bosque,7
Bosque,2.33
Bosque,3.67
Bosque,3.67
Bosque,2
Bosque,4.33
Bosque,2.67
Bosque,5.33
Bosque,5.33
Bosque,4.67
Bosque,6.67
Bosque,6
Bosque,3
DAIB,4
DAIB,5.33
DAIB,5.33
DAIB,5.33
DAIB,2.67
DAIB,1.67
DAIB,4
DAIB,2.33
DAIB,6.67
DAIB,7.67
DAIB,3.33
DAIB,4.33
DAIB,4
DAIB,2.33
DAIB,4.67
DAIC,4.67
DAIC,3.33
DAIC,0.67
DAIC,6
DAIC,4.67
DAIC,6.67
DAIC,1.67
DAIC,3.33
DAIC,4
DAIC,5
DAIC,4.33
DAIC,6.67
DAIC,7.33
DAIC,5.33
DAIC,1.33
SOMBRA,2.67
SOMBRA,1.67
SOMBRA,6
SOMBRA,4.33
SOMBRA,10
SOMBRA,7.33
SOMBRA,1.67
SOMBRA,5.33
SOMBRA,4
SOMBRA,7.33
SOMBRA,3.67
SOMBRA,4.67
SOMBRA,5.33
SOMBRA,2.67
SOMBRA,9
SOMBRA,6
SOL,3
SOL,1
SOL,1.33
SOL,0.33
SOL,2.67
SOL,0.67
SOL,3
SOL,3.67
SOL,3
SOL,5.67
SOL,1
SOL,3.33
SOL,4.33
SOL,0.33
