Riqueza,Viento,Cielo,Rio,Hora,Mes,VERCHR,VERCYA,HYLMUS,VIRSOL,CARPUS,SETCIT,SETVIR,DUMCAR,SETMAG,SETPEN,OREPER
4,2,2,0,817,12,0,0,0,0,0,0,2,0,2,0,0
2,2,0,0,1015,2,0,0,0,0,1,0,0,1,0,0,0
8,1,0,0,705,4,0,0,0,0,0,0,1,1,0,0,0
3,1,2,0,1037,1,0,0,0,0,0,0,0,0,0,0,0
4,3,0,0,1003,2,1,0,0,0,0,0,1,0,0,0,0
1,1,0,0,1151,4,0,0,0,0,0,0,0,0,0,0,0
8,1,2,0,1343,1,1,1,0,0,1,1,1,0,0,0,0
6,1,0,0,703,2,0,0,1,0,0,0,0,0,0,0,0
9,2,2,0,958,3,0,0,0,1,0,0,1,1,2,3,0
5,1,2,0,755,1,0,0,0,0,0,0,2,0,0,1,0
2,1,3,0,1026,2,0,0,0,0,0,0,3,0,0,1,0
0,1,0,0,1327,4,0,0,0,0,0,0,0,0,0,0,0
4,1,2,0,924,1,0,0,0,0,0,0,0,0,1,0,0
7,1,2,0,1128,2,1,0,0,0,0,0,1,0,1,0,0
1,2,0,0,1247,4,0,0,0,0,0,0,0,0,0,0,0
1,1,2,1,1106,1,0,0,0,0,0,0,0,0,0,0,0
9,1,2,0,1150,2,0,0,0,0,0,0,1,1,0,0,0
2,1,0,0,1256,4,0,0,0,0,0,0,2,0,1,0,0
1,3,1,0,1015,1,0,0,0,0,0,0,1,0,0,0,0
1,1,0,0,652,2,0,0,0,0,0,0,0,0,0,0,0
4,2,0,0,948,4,0,0,0,0,0,0,1,0,0,0,0
4,1,0,1,720,1,0,0,0,0,1,0,1,0,0,0,0
2,3,2,1,1015,2,0,0,0,0,0,0,0,0,0,0,0
6,1,3,1,638,4,0,0,0,0,1,0,2,0,0,1,0
0,2,2,0,758,1,0,0,0,0,0,0,0,0,0,0,0
3,1,0,0,809,2,0,0,0,0,1,0,0,0,0,0,0
5,1,0,0,1056,4,0,0,0,0,2,0,1,0,1,0,0
3,2,2,3,631,12,0,0,0,0,4,0,0,0,0,0,0
6,2,2,3,856,2,0,0,0,0,1,0,1,0,0,0,0
7,2,0,2,822,4,0,0,0,0,1,0,0,1,1,0,0
2,1,2,3,652,12,0,0,0,0,0,0,0,0,0,0,0
10,2,2,3,836,2,1,0,0,0,2,0,0,0,1,0,0
4,1,0,3,837,4,0,0,0,0,0,0,0,0,0,0,0
6,1,1,0,1220,12,1,0,0,0,0,0,1,0,1,0,0
9,1,3,0,916,2,1,1,0,0,0,0,6,0,2,1,0
0,2,0,0,1355,4,0,0,0,0,0,0,0,0,0,0,0
4,1,1,0,1121,12,0,0,0,0,0,0,1,1,0,0,0
9,1,1,0,944,2,0,1,0,0,1,0,0,0,1,0,0
8,2,0,0,901,4,0,0,0,0,1,0,1,0,1,0,0
5,1,1,0,1141,12,0,0,0,0,1,0,1,0,2,0,0
6,1,1,1,928,2,0,0,0,0,0,0,0,0,1,1,0
8,1,0,0,916,4,1,0,0,0,1,0,1,0,1,0,0
6,2,0,0,703,1,1,0,0,0,1,0,1,0,0,0,0
0,2,3,0,854,2,0,0,0,0,0,0,0,0,0,0,0
3,2,2,0,1018,3,0,0,0,0,1,0,1,0,1,0,0
8,1,1,0,905,12,0,1,0,0,1,0,0,0,0,0,0
3,2,1,0,924,12,0,0,0,0,1,0,0,0,1,0,0
2,2,1,0,1339,12,0,0,0,0,1,0,0,0,0,0,0
0,1,2,3,1145,12,0,0,0,0,0,0,0,0,0,0,0
5,2,2,2,1125,12,0,0,0,0,1,0,2,0,1,0,0
9,1,3,2,714,2,1,0,0,0,0,0,2,0,1,1,0
7,2,0,1,650,4,1,0,0,0,1,0,2,0,1,1,0
5,2,4,0,735,2,0,0,0,0,0,0,4,0,1,1,0
4,2,0,0,638,4,0,0,0,0,0,0,0,0,0,0,0
2,1,2,0,928,1,0,0,0,0,2,0,0,0,0,0,0
4,1,2,0,909,1,0,0,0,0,1,1,4,0,1,0,0
2,1,0,0,930,2,0,0,0,0,1,0,0,0,0,0,0
3,1,0,0,1204,4,0,0,0,0,1,0,0,0,0,0,0
4,2,0,0,945,2,0,0,0,0,0,0,0,0,0,0,0
2,2,0,0,1203,4,0,0,0,0,0,0,0,0,0,0,0
3,1,2,0,1011,1,0,0,0,0,0,0,2,0,0,1,0
1,2,2,0,952,1,0,0,0,0,0,0,2,0,0,0,0
6,1,0,0,1033,2,0,0,0,0,0,1,0,1,0,1,0
3,1,0,0,1127,4,0,0,0,0,1,0,0,0,0,0,0
0,1,0,0,1051,2,0,0,0,0,0,0,0,0,0,0,0
1,2,0,0,1138,4,0,0,0,0,0,0,0,0,0,0,0
7,0,1,0,843,1,0,0,0,1,1,1,1,0,1,0,0
8,0,1,0,905,1,0,0,0,1,1,0,1,0,0,1,0
4,1,1,2,923,1,0,0,0,0,0,0,0,0,0,0,0
5,2,0,1,1050,2,0,0,0,0,0,0,0,0,0,0,0
5,1,0,0,636,3,0,0,0,0,0,0,0,0,0,0,0
5,1,0,1,1034,2,0,0,0,0,0,0,0,0,0,1,0
8,1,0,0,654,3,0,0,0,1,1,1,2,0,0,1,0
9,2,0,2,1019,2,0,0,0,0,0,0,1,0,1,1,0
6,1,0,1,710,3,0,0,0,0,1,0,0,0,0,0,0
