Tipo de Finca,SETVIR
BOSQUE,1
BOSQUE,0.333333333
BOSQUE,0.666666667
BOSQUE,1.666666667
BOSQUE,0.333333333
BOSQUE,1
BOSQUE,0.666666667
BOSQUE,1
BOSQUE,0.333333333
BOSQUE,0.333333333
BOSQUE,0
BOSQUE,2.333333333
BOSQUE,0.666666667
BOSQUE,0.666666667
BOSQUE,0.666666667
DAI,0.666666667
DAI,0
DAI,0.666666667
DAI,1
DAI,2
DAI,0.666666667
DAI,1.333333333
DAI,0.333333333
DAI,1.333333333
DAI,3.333333333
DAI,1.333333333
DAI,1.333333333
DAI,0.666666667
DAI,1.333333333
DAI,4
SOL,0
SOL,0
SOL,0.666666667
SOL,0
SOL,0.333333333
SOL,0
SOL,0.666666667
SOL,0.333333333
SOL,0.666666667
SOL,0.666666667
SOL,0.333333333
SOL,1.333333333
SOL,0
SOL,0
SOMBRA,1.666666667
SOMBRA,0.666666667
SOMBRA,1.333333333
SOMBRA,1
SOMBRA,0.666666667
SOMBRA,0.666666667
SOMBRA,0
SOMBRA,0.333333333
SOMBRA,0.666666667
SOMBRA,1.666666667
SOMBRA,0
SOMBRA,0
SOMBRA,0
SOMBRA,0
SOMBRA,1.333333333
SOMBRA,0
