Tipo de Finca,VIRPHI
BOSQUE,0.666666667
BOSQUE,0
BOSQUE,1.666666667
BOSQUE,0.333333333
BOSQUE,0
BOSQUE,0
BOSQUE,0
BOSQUE,0.333333333
BOSQUE,0
BOSQUE,0
BOSQUE,0
BOSQUE,0
BOSQUE,0.333333333
BOSQUE,0.666666667
BOSQUE,0
DAI,0.666666667
DAI,0
DAI,3.666666667
DAI,0.333333333
DAI,0
DAI,0
DAI,1.333333333
DAI,1.666666667
DAI,0
DAI,0
DAI,0
DAI,0
DAI,0.333333333
DAI,0.333333333
DAI,0.666666667
SOL,0
SOL,0
SOL,0
SOL,0
SOL,0
SOL,0
SOL,0
SOL,0
SOL,0
SOL,0.666666667
SOL,0
SOL,0
SOL,0
SOL,0
SOMBRA,0
SOMBRA,0.333333333
SOMBRA,0.333333333
SOMBRA,0
SOMBRA,0
SOMBRA,0.333333333
SOMBRA,0
SOMBRA,0.333333333
SOMBRA,0
SOMBRA,0.333333333
SOMBRA,0
SOMBRA,0
SOMBRA,0
SOMBRA,0
SOMBRA,0.666666667
SOMBRA,0
